"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] CompanyNameComparatorJaccardNgram record1Value","[0] CompanyNameComparatorJaccardNgram record2Value","[0] CompanyNameComparatorJaccardNgram record1PreprocessedValue","[0] CompanyNameComparatorJaccardNgram record2PreprocessedValue","[0] CompanyNameComparatorJaccardNgram similarity","[0] CompanyNameComparatorJaccardNgram postproccesedSimilarity","[1] CompanyNameComparatorJaccardNgram record1Value","[1] CompanyNameComparatorJaccardNgram record2Value","[1] CompanyNameComparatorJaccardNgram record1PreprocessedValue","[1] CompanyNameComparatorJaccardNgram record2PreprocessedValue","[1] CompanyNameComparatorJaccardNgram similarity","[1] CompanyNameComparatorJaccardNgram postproccesedSimilarity","[2] CompanyNameComparatorJaccardNgram record1Value","[2] CompanyNameComparatorJaccardNgram record2Value","[2] CompanyNameComparatorJaccardNgram record1PreprocessedValue","[2] CompanyNameComparatorJaccardNgram record2PreprocessedValue","[2] CompanyNameComparatorJaccardNgram similarity","[2] CompanyNameComparatorJaccardNgram postproccesedSimilarity","[3] CompanyNameComparatorJaccardNgram record1Value","[3] CompanyNameComparatorJaccardNgram record2Value","[3] CompanyNameComparatorJaccardNgram record1PreprocessedValue","[3] CompanyNameComparatorJaccardNgram record2PreprocessedValue","[3] CompanyNameComparatorJaccardNgram similarity","[3] CompanyNameComparatorJaccardNgram postproccesedSimilarity","[4] CompanyNameComparatorLevenshtein record1Value","[4] CompanyNameComparatorLevenshtein record2Value","[4] CompanyNameComparatorLevenshtein record1PreprocessedValue","[4] CompanyNameComparatorLevenshtein record2PreprocessedValue","[4] CompanyNameComparatorLevenshtein similarity","[4] CompanyNameComparatorLevenshtein postproccesedSimilarity","[5] CompanyNameComparatorLevenshtein record1Value","[5] CompanyNameComparatorLevenshtein record2Value","[5] CompanyNameComparatorLevenshtein record1PreprocessedValue","[5] CompanyNameComparatorLevenshtein record2PreprocessedValue","[5] CompanyNameComparatorLevenshtein similarity","[5] CompanyNameComparatorLevenshtein postproccesedSimilarity","[6] CompanyNameComparatorJaccardToken record1Value","[6] CompanyNameComparatorJaccardToken record2Value","[6] CompanyNameComparatorJaccardToken record1PreprocessedValue","[6] CompanyNameComparatorJaccardToken record2PreprocessedValue","[6] CompanyNameComparatorJaccardToken similarity","[6] CompanyNameComparatorJaccardToken postproccesedSimilarity"
"WekaMatchingRule","dbpedia_1681","Forbes1459","0.00934537080381876",,"G2000","AVIC Capita","g2000","aviccapita","0.0","0.0","G2000","AVIC Capita","g2000","aviccapita","0.0","0.0","G2000","AVIC Capita","g2000","aviccapita","0.0","0.0","G2000","AVIC Capita","g2000","aviccapita","0.0","0.0","G2000","AVIC Capita","g2000","aviccapita","0.0","0.0","G2000","AVIC Capita","g2000","aviccapita","0.0","0.0","G2000","AVIC Capita","G2000","AVIC Capita","0.0","0.0"
"WekaMatchingRule","dbpedia_4653","Forbes29","0.9972873126611694","1","Volkswagen Group","Volkswagen Group","volkswagen","volkswagen","1.0","1.0","Volkswagen Group","Volkswagen Group","volkswagengroup","volkswagengroup","1.0","1.0","Volkswagen Group","Volkswagen Group","volkswagen","volkswagen","1.0","1.0","Volkswagen Group","Volkswagen Group","volkswagengroup","volkswagengroup","1.0","1.0","Volkswagen Group","Volkswagen Group","volkswagen","volkswagen","1.0","1.0","Volkswagen Group","Volkswagen Group","volkswagengroup","volkswagengroup","1.0","1.0","Volkswagen Group","Volkswagen Group","Volkswagen Group","Volkswagen Group","1.0","1.0"
"WekaMatchingRule","dbpedia_2286","Forbes219","0.9972873126611694","1","Japan Tobacco","Japan Tobacco","japantobacco","japantobacco","1.0","1.0","Japan Tobacco","Japan Tobacco","japantobacco","japantobacco","1.0","1.0","Japan Tobacco","Japan Tobacco","japantobacco","japantobacco","1.0","1.0","Japan Tobacco","Japan Tobacco","japantobacco","japantobacco","1.0","1.0","Japan Tobacco","Japan Tobacco","japantobacco","japantobacco","1.0","1.0","Japan Tobacco","Japan Tobacco","japantobacco","japantobacco","1.0","1.0","Japan Tobacco","Japan Tobacco","Japan Tobacco","Japan Tobacco","1.0","1.0"
"WekaMatchingRule","dbpedia_303","Forbes1919","0.00934537080381876","0","Arch Capital Group","Ares Capital","archcapital","arescapital","0.42857142857142855","0.0","Arch Capital Group","Ares Capital","archcapitalgroup","arescapital","0.3157894736842105","0.0","Arch Capital Group","Ares Capital","archcapital","arescapital","0.2857142857142857","0.0","Arch Capital Group","Ares Capital","archcapitalgroup","arescapital","0.21052631578947367","0.0","Arch Capital Group","Ares Capital","archcapital","arescapital","0.8181818181818181","0.8181818181818181","Arch Capital Group","Ares Capital","archcapitalgroup","arescapital","0.5625","0.5625","Arch Capital Group","Ares Capital","Arch Capital Group","Ares Capital","0.25","0.0"
"WekaMatchingRule","dbpedia_900","Forbes22","0.00934537080381876","0","China Aoyuan Group","China Mobile","chinaaoyuan","chinamobile","0.25","0.0","China Aoyuan Group","China Mobile","chinaaoyuangroup","chinamobile","0.19047619047619047","0.0","China Aoyuan Group","China Mobile","chinaaoyuan","chinamobile","0.2","0.0","China Aoyuan Group","China Mobile","chinaaoyuangroup","chinamobile","0.15","0.0","China Aoyuan Group","China Mobile","chinaaoyuan","chinamobile","0.5454545454545454","0.0","China Aoyuan Group","China Mobile","chinaaoyuangroup","chinamobile","0.375","0.0","China Aoyuan Group","China Mobile","China Aoyuan Group","China Mobile","0.25","0.0"
"WekaMatchingRule","dbpedia_1681","Forbes24","0.00934537080381876",,"G2000","Alphabet","g2000","alphabet","0.0","0.0","G2000","Alphabet","g2000","alphabet","0.0","0.0","G2000","Alphabet","g2000","alphabet","0.0","0.0","G2000","Alphabet","g2000","alphabet","0.0","0.0","G2000","Alphabet","g2000","alphabet","0.0","0.0","G2000","Alphabet","g2000","alphabet","0.0","0.0","G2000","Alphabet","G2000","Alphabet","0.0","0.0"
"WekaMatchingRule","dbpedia_4603","Forbes463","0.00934537080381876",,"Viacom (2005–2019)","Axis Bank","viacom2005–2019","axis","0.0","0.0","Viacom (2005–2019)","Axis Bank","viacom2005–2019","axisbank","0.0","0.0","Viacom (2005–2019)","Axis Bank","viacom2005–2019","axis","0.0","0.0","Viacom (2005–2019)","Axis Bank","viacom2005–2019","axisbank","0.0","0.0","Viacom (2005–2019)","Axis Bank","viacom2005–2019","axis","0.06666666666666665","0.0","Viacom (2005–2019)","Axis Bank","viacom2005–2019","axisbank","0.06666666666666665","0.0","Viacom (2005–2019)","Axis Bank","Viacom (2005–2019)","Axis Bank","0.0","0.0"
"WekaMatchingRule","dbpedia_358","Forbes587",,"0","Astarta Holding","Atlantia","astarta","atlantia","0.0","0.0","Astarta Holding","Atlantia","astartaholding","atlantia","0.0","0.0","Astarta Holding","Atlantia","astarta","atlantia","0.0","0.0","Astarta Holding","Atlantia","astartaholding","atlantia","0.0","0.0","Astarta Holding","Atlantia","astarta","atlantia","0.5","0.0","Astarta Holding","Atlantia","astartaholding","atlantia","0.2857142857142857","0.0","Astarta Holding","Atlantia","Astarta Holding","Atlantia","0.0","0.0"
"WekaMatchingRule","dbpedia_98","Forbes1948","0.00934537080381876","0","Adabank","Arab Banking","adabank","arabbanking","0.14285714285714285","0.0","Adabank","Arab Banking","adabank","arabbanking","0.14285714285714285","0.0","Adabank","Arab Banking","adabank","arabbanking","0.07692307692307693","0.0","Adabank","Arab Banking","adabank","arabbanking","0.07692307692307693","0.0","Adabank","Arab Banking","adabank","arabbanking","0.5454545454545454","0.0","Adabank","Arab Banking","adabank","arabbanking","0.5454545454545454","0.0","Adabank","Arab Banking","Adabank","Arab Banking","0.0","0.0"
"WekaMatchingRule","dbpedia_4603","Forbes468","0.00934537080381876",,"Viacom (2005–2019)","Adidas","viacom2005–2019","adidas","0.0","0.0","Viacom (2005–2019)","Adidas","viacom2005–2019","adidas","0.0","0.0","Viacom (2005–2019)","Adidas","viacom2005–2019","adidas","0.0","0.0","Viacom (2005–2019)","Adidas","viacom2005–2019","adidas","0.0","0.0","Viacom (2005–2019)","Adidas","viacom2005–2019","adidas","0.06666666666666665","0.0","Viacom (2005–2019)","Adidas","viacom2005–2019","adidas","0.06666666666666665","0.0","Viacom (2005–2019)","Adidas","Viacom (2005–2019)","Adidas","0.0","0.0"
"WekaMatchingRule","dbpedia_4602","Forbes1858","0.00934537080381876",,"Viacom (2005–2019)","Alawwal Bank","viacom2005–2019","alawwal","0.0","0.0","Viacom (2005–2019)","Alawwal Bank","viacom2005–2019","alawwalbank","0.0","0.0","Viacom (2005–2019)","Alawwal Bank","viacom2005–2019","alawwal","0.0","0.0","Viacom (2005–2019)","Alawwal Bank","viacom2005–2019","alawwalbank","0.0","0.0","Viacom (2005–2019)","Alawwal Bank","viacom2005–2019","alawwal","0.06666666666666665","0.0","Viacom (2005–2019)","Alawwal Bank","viacom2005–2019","alawwalbank","0.06666666666666665","0.0","Viacom (2005–2019)","Alawwal Bank","Viacom (2005–2019)","Alawwal Bank","0.0","0.0"
"WekaMatchingRule","dbpedia_1681","Forbes27","0.00934537080381876",,"G2000","AXA Group","g2000","axa","0.0","0.0","G2000","AXA Group","g2000","axagroup","0.0","0.0","G2000","AXA Group","g2000","axa","0.0","0.0","G2000","AXA Group","g2000","axagroup","0.0","0.0","G2000","AXA Group","g2000","axa","0.0","0.0","G2000","AXA Group","g2000","axagroup","0.125","0.0","G2000","AXA Group","G2000","AXA Group","0.0","0.0"
"WekaMatchingRule","dbpedia_902","Forbes1643","0.00934537080381876","0","China CITIC Bank","China Jinmao","chinacitic","chinajinmao","0.26666666666666666","0.0","China CITIC Bank","China Jinmao","chinaciticbank","chinajinmao","0.21052631578947367","0.0","China CITIC Bank","China Jinmao","chinacitic","chinajinmao","0.21428571428571427","0.0","China CITIC Bank","China Jinmao","chinaciticbank","chinajinmao","0.16666666666666666","0.0","China CITIC Bank","China Jinmao","chinacitic","chinajinmao","0.5454545454545454","0.0","China CITIC Bank","China Jinmao","chinaciticbank","chinajinmao","0.5","0.0","China CITIC Bank","China Jinmao","China CITIC Bank","China Jinmao","0.25","0.0"
"WekaMatchingRule","dbpedia_3699","Forbes406","0.00934537080381876","0","SUSE","SSE","suse","sse","0.0","0.0","SUSE","SSE","suse","sse","0.0","0.0","SUSE","SSE","suse","sse","0.0","0.0","SUSE","SSE","suse","sse","0.0","0.0","SUSE","SSE","suse","sse","0.75","0.75","SUSE","SSE","suse","sse","0.75","0.75","SUSE","SSE","SUSE","SSE","0.0","0.0"
"WekaMatchingRule","dbpedia_224","Forbes580","0.00934537080381876","0","American Axle","American Tower","americanaxle","americantower","0.4375","0.0","American Axle","American Tower","americanaxle","americantower","0.4375","0.0","American Axle","American Tower","americanaxle","americantower","0.4","0.0","American Axle","American Tower","americanaxle","americantower","0.4","0.0","American Axle","American Tower","americanaxle","americantower","0.6923076923076923","0.6923076923076923","American Axle","American Tower","americanaxle","americantower","0.6923076923076923","0.6923076923076923","American Axle","American Tower","American Axle","American Tower","0.3333333333333333","0.0"
"WekaMatchingRule","dbpedia_4602","Forbes334","0.00934537080381876",,"Viacom (2005–2019)","Automatic Data Processing","viacom2005–2019","automaticdataprocessing","0.0","0.0","Viacom (2005–2019)","Automatic Data Processing","viacom2005–2019","automaticdataprocessing","0.0","0.0","Viacom (2005–2019)","Automatic Data Processing","viacom2005–2019","automaticdataprocessing","0.0","0.0","Viacom (2005–2019)","Automatic Data Processing","viacom2005–2019","automaticdataprocessing","0.0","0.0","Viacom (2005–2019)","Automatic Data Processing","viacom2005–2019","automaticdataprocessing","0.08695652173913049","0.0","Viacom (2005–2019)","Automatic Data Processing","viacom2005–2019","automaticdataprocessing","0.08695652173913049","0.0","Viacom (2005–2019)","Automatic Data Processing","Viacom (2005–2019)","Automatic Data Processing","0.0","0.0"
"WekaMatchingRule","dbpedia_1978","Forbes1885","0.959688056412816","1","Hokkaido Electric Power Company","Hokkaido Electric Power","hokkaidoelectricpowercompany","hokkaidoelectricpower","0.7407407407407407","0.7407407407407407","Hokkaido Electric Power Company","Hokkaido Electric Power","hokkaidoelectricpowercompany","hokkaidoelectricpower","0.7407407407407407","0.7407407407407407","Hokkaido Electric Power Company","Hokkaido Electric Power","hokkaidoelectricpowercompany","hokkaidoelectricpower","0.7307692307692307","0.7307692307692307","Hokkaido Electric Power Company","Hokkaido Electric Power","hokkaidoelectricpowercompany","hokkaidoelectricpower","0.7307692307692307","0.7307692307692307","Hokkaido Electric Power Company","Hokkaido Electric Power","hokkaidoelectricpowercompany","hokkaidoelectricpower","0.75","0.75","Hokkaido Electric Power Company","Hokkaido Electric Power","hokkaidoelectricpowercompany","hokkaidoelectricpower","0.75","0.75","Hokkaido Electric Power Company","Hokkaido Electric Power","Hokkaido Electric Power Company","Hokkaido Electric Power","0.75","0.75"
