"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] CompanyNameComparatorJaccardNgram record1Value","[0] CompanyNameComparatorJaccardNgram record2Value","[0] CompanyNameComparatorJaccardNgram record1PreprocessedValue","[0] CompanyNameComparatorJaccardNgram record2PreprocessedValue","[0] CompanyNameComparatorJaccardNgram similarity","[0] CompanyNameComparatorJaccardNgram postproccesedSimilarity"
"LinearCombinationMatchingRule","dataworld_1812","Forbes892","0.0",,"Shikoku Bank","Schindler Holding","shikoku","schindler","0.0","0.0"
"LinearCombinationMatchingRule","dataworld_1812","Forbes891","0.0",,"Shikoku Bank","S.f. Holding","shikoku","sf","0.0","0.0"
"LinearCombinationMatchingRule","dataworld_985","Forbes612","0.0",,"Delta Lloyd","Dollar General","deltalloyd","dollargeneral","0.0","0.0"
"LinearCombinationMatchingRule","dataworld_875","Forbes1033","0.0",,"Nordstrom","Nintendo","nordstrom","nintendo","0.0","0.0"
"LinearCombinationMatchingRule","dataworld_140","Forbes501","0.0",,"Société Générale","SK Telecom","sociétégénérale","sktelecom","0.0","0.0"
"LinearCombinationMatchingRule","dataworld_1883","Forbes1353","0.0",,"Ambac Financial Group","Airports of Thailand","ambac","airportsthailand","0.0","0.0"
"LinearCombinationMatchingRule","dataworld_585","Forbes1481","0.0",,"Kubota","KB Insurance","kubota","kbinsurance","0.0","0.0"
"LinearCombinationMatchingRule","dataworld_1094","Forbes1143","0.0",,"Tullow Oil","Toppan Printing","tullowoil","toppanprinting","0.0","0.0"
"LinearCombinationMatchingRule","dataworld_68","Forbes911","0.09090909090909091",,"General Motors","Gemdale","general","gemdale","0.09090909090909091","0.09090909090909091"
"LinearCombinationMatchingRule","dataworld_1883","Forbes1350","0.0",,"Ambac Financial Group","Ahli United Bank","ambac","ahliunited","0.0","0.0"
"LinearCombinationMatchingRule","dataworld_1523","Forbes350","0.0",,"Shangri-La Asia","Saudi Telecom","shangrilaasia","sauditelecom","0.0","0.0"
"LinearCombinationMatchingRule","dataworld_1855","Forbes411","0.0",,"City National","China Yangtze Power","citynational","chinayangtzepower","0.0","0.0"
"LinearCombinationMatchingRule","dataworld_543","Forbes1309","0.0",,"Sumitomo Realty","Sino-Ocean Land Holdings","sumitomorealty","sinooceanland","0.0","0.0"
"LinearCombinationMatchingRule","dataworld_387","Forbes12","0.0",,"Colgate-Palmolive","Citigroup","colgatepalmolive","citigroup","0.0","0.0"
"LinearCombinationMatchingRule","dataworld_1191","Forbes228","0.0",,"FCC","Fresenius","fcc","fresenius","0.0","0.0"
"LinearCombinationMatchingRule","dataworld_1215","Forbes1683","0.0",,"CP All","Commercial Bank For Investment & Development Of Vietnam","cpall","commercialforinvestmentdevelopmentvietnam","0.0","0.0"
"LinearCombinationMatchingRule","dataworld_25","Forbes1682","0.0",,"Allianz","AU Optronics","allianz","auoptronics","0.0","0.0"
"LinearCombinationMatchingRule","dataworld_365","Forbes1885","0.0",,"Hyundai Heavy Industries","Hokkaido Electric Power","hyundaiheavy","hokkaidoelectricpower","0.0","0.0"
"LinearCombinationMatchingRule","dataworld_1906","Forbes12","0.0",,"Cliffs Natural Resources","Citigroup","cliffsnaturalresources","citigroup","0.0","0.0"
"LinearCombinationMatchingRule","dataworld_271","Forbes144","0.0",,"Takeda Pharmaceutical","Tokio Marine Holdings","takeda","tokiomarine","0.0","0.0"
"LinearCombinationMatchingRule","dataworld_271","Forbes148","0.0",,"Takeda Pharmaceutical","Tencent Holdings","takeda","tencent","0.0","0.0"
"LinearCombinationMatchingRule","dataworld_1318","Forbes1626","0.0",,"Aéroports de Paris","Axis Capital Holdings","aéroportsdeparis","axiscapital","0.0","0.0"
"LinearCombinationMatchingRule","dataworld_993","Forbes1159","0.0",,"St Jude Medical","Sika","stjudemedical","sika","0.0","0.0"
"LinearCombinationMatchingRule","dataworld_1848","Forbes530","0.0",,"Shanghai Material Trading","Simon Property Group","shanghaimaterialtrading","simonproperty","0.0","0.0"
"LinearCombinationMatchingRule","dataworld_1012","Forbes430","0.0",,"BCI-Banco Credito","Baoshan Iron & Steel","bcibancocredito","baoshanironsteel","0.0","0.0"
"LinearCombinationMatchingRule","dataworld_159","Forbes265","0.0",,"SAIC Motor","Shinhan Financial Group","saic","shinhan","0.0","0.0"
"LinearCombinationMatchingRule","dataworld_1852","Forbes1915","0.0",,"Motor Oil","Murphy USA","oil","murphyusa","0.0","0.0"
"LinearCombinationMatchingRule","dataworld_159","Forbes267","0.0",,"SAIC Motor","Synchrony Financial","saic","synchrony","0.0","0.0"
"LinearCombinationMatchingRule","dataworld_993","Forbes1154","0.0",,"St Jude Medical","Sun Art Retail Group","stjudemedical","sunartretail","0.0","0.0"
"LinearCombinationMatchingRule","dataworld_1637","Forbes811","0.0",,"Lawson","LG Electronics","lawson","lgelectronics","0.0","0.0"
"LinearCombinationMatchingRule","dataworld_159","Forbes268","0.2",,"SAIC Motor","Saint-Gobain","saic","saintgobain","0.2","0.2"
"LinearCombinationMatchingRule","dataworld_1906","Forbes1779","0.0",,"Cliffs Natural Resources","Credit Saison","cliffsnaturalresources","creditsaison","0.0","0.0"
"LinearCombinationMatchingRule","dataworld_1588","Forbes131","0.0",,"Aboitiz Equity Ventures","Amgen","aboitizequityventures","amgen","0.0","0.0"
"LinearCombinationMatchingRule","dataworld_1309","Forbes114","0.0",,"Hyundai Marine & Fire","Home Depot","hyundaimarinefire","homedepot","0.0","0.0"
"LinearCombinationMatchingRule","dataworld_1906","Forbes1774","0.022727272727272728",,"Cliffs Natural Resources","Chongqing New Century Cruise","cliffsnaturalresources","chongqingnewcenturycruise","0.022727272727272728","0.022727272727272728"
"LinearCombinationMatchingRule","dataworld_1312","Forbes1272","0.0",,"Calpine","CIT Group","calpine","cit","0.0","0.0"
"LinearCombinationMatchingRule","dataworld_1729","Forbes1916","1.0",,"Bank of Nagoya","Bank of Nagoya","nagoya","nagoya","1.0","1.0"
"LinearCombinationMatchingRule","dataworld_34","Forbes901","0.0",,"Proctor & Gamble","PKO Bank Polski","proctorgamble","pkopolski","0.0","0.0"
"LinearCombinationMatchingRule","dataworld_1695","Forbes244","0.0",,"Suruga Bank","State Bank of India","suruga","stateindia","0.0","0.0"
"LinearCombinationMatchingRule","dataworld_1082","Forbes17","0.0",,"Wisconsin Energy","Wal-Mart Stores","wisconsin","walmartstores","0.0","0.0"
"LinearCombinationMatchingRule","dataworld_1516","Forbes472","0.09523809523809523",,"Coloplast","Colgate-Palmolive","coloplast","colgatepalmolive","0.09523809523809523","0.09523809523809523"
"LinearCombinationMatchingRule","dataworld_1873","Forbes1585","0.0",,"SpareBank 1 SR-Bank","Suzuken","sparebank1srbank","suzuken","0.0","0.0"
"LinearCombinationMatchingRule","dataworld_1701","Forbes523","0.0",,"Green Mountain Coffee","Garanti Bank","greenmountaincoffee","garanti","0.0","0.0"
