"Group Size","Frequency"
"2","1376"
"3","450"
"4","181"
"5","79"
"6","30"
"7","20"
"8","13"
"9","4"
"10","8"
"11","2"
"12","2"
"13","2"
"15","2"
"18","2"
"21","1"
"28","1"
