"RecordIDS","AverageConsistency","COUNTRY-Consistency","COUNTRY-Values","YEAR_FOUNDED-Consistency","YEAR_FOUNDED-Values","CURRENT_EMPLOYEES-Consistency","CURRENT_EMPLOYEES-Values","Name-Consistency","Name-Values","INDUSTRY-Consistency","INDUSTRY-Values"
"Kaggle_60901+dbpedia_4062","0.5",,,"1.0","{1993.0|1992.0}","0.0","{188.0|1352.0}","1.0","{sun tv network limited|Sun TV Network}","0.0","{[, broadcast media, ]|[, Mass media, ]}"
"Kaggle_2276+dbpedia_2767","0.8","1.0","{united states}","1.0","{1997.0|1997.0}","0.0","{3887.0|17449.0}","1.0","{mediatek|MediaTek}","1.0","{[, semiconductors, ]|[, Semiconductor, , Graphics processing unit, , Consumer electronics, , Computer hardware, , Graphics card, ]}"
"Kaggle_27859+dbpedia_614","0.6","1.0","{united states}","1.0","{2009.0|2009.0}","0.0","{421.0|600.0}","1.0","{bigcommerce|BigCommerce}","0.0","{[, computer software, ]|[, E-commerce, ]}"
"Kaggle_5220445+dbpedia_227","0.6","1.0","{united states}","1.0","{1872.0}","0.0","{1.0|7600.0}","1.0","{american financial group|American Financial Group}","0.0","{[, real estate, ]|[, Financial services, ]}"
"Kaggle_311038+dbpedia_3706","0.5",,,"1.0","{1934.0}","0.0","{32.0|5125.0}","1.0","{safilo group|Safilo Group}","0.0","{[, apparel & fashion, ]|[, Fashion, , Manufacturing, ]}"
"Kaggle_4383+dbpedia_2771","0.8","1.0","{pakistan}","1.0","{2002.0}","1.0","{2316.0}","1.0","{meezan bank limited|Meezan Bank}","0.0","{[, banking, ]|[, Islamic banking and finance, ]}"
"Kaggle_68128+dbpedia_867","0.5",,,"1.0","{1986.0|1986.0}","0.0","{167.0|2171.0}","1.0","{century properties|Century Properties}","0.0","{[, real estate, ]|[, Property, ]}"
"Kaggle_132439+dbpedia_4045","0.5",,,"1.0","{1888.0}","0.0","{82.0|17941.0}","1.0","{sumitomo heavy industries limited|Sumitomo Heavy Industries}","0.0","{[, machinery, ]|[, Machine, ]}"
"Kaggle_12679+dbpedia_509","0.5","1.0","{oman}",,,"0.0","{897.0|3779.0}","1.0","{bank muscat|Bank Muscat}","0.0","{[, banking, ]|[, Financial services, ]}"
"Kaggle_116424+dbpedia_1400","0.6","1.0","{Israel}","1.0","{1951.0|1945.0}","0.0","{95.0|6500.0}","1.0","{electra consumer products ltd|Electra Consumer Products}","0.0","{[, consumer electronics, ]|[, Home appliance, , Retail, , Final good, , Foodservice, , Convenience store, ]}"
"Kaggle_70024+dbpedia_120","1.0","1.0","{china}","1.0","{1985.0}","1.0","{162.0}","1.0","{agile property limited|Agile Property}","1.0","{[, real estate, ]|[, Real estate, ]}"
"Kaggle_6819+dbpedia_102","0.8","1.0","{india}","1.0","{2006.0|1996.0}","1.0","{1584.0}","1.0","{adani power limited|Adani Power}","0.0","{[, oil & energy, ]|[, Energy industry, ]}"
"Kaggle_98014+dbpedia_616","0.6","1.0","{united states}","1.0","{2002.0|2002.0}","0.0","{114.0|280.0}","1.0","{bill barrett corporation|Bill Barrett Corporation}","0.0","{[, oil & energy, ]|[, Hydrocarbon exploration, ]}"
"Kaggle_54298+dbpedia_630","0.8","1.0","{united states}","1.0","{1989.0|1989.0}","1.0","{212.0}","1.0","{black diamond equipment|Black Diamond Equipment}","0.0","{[, sporting goods, ]|[, Skiing, , Climbing, ]}"
"Kaggle_249879+dbpedia_4612","0.8","1.0","{spain}","1.0","{1963.0|1963.0}","1.0","{41.0}","1.0","{vidal golosinas|Vidal Golosinas}","0.0","{[, food & beverages, ]|[, Confectionery, ]}"
"Kaggle_1578356+dbpedia_2565","0.4","0.0","{canada|United States}","1.0","{2012.0|1999.0}","0.0","{4.0|3500.0}","1.0","{lionsgate|Lionsgate}","0.0","{[, medical devices, ]|[, Entertainment, , Home video, ]}"
"Kaggle_152+dbpedia_4279","0.6","1.0","{united states}","1.0","{1892.0|1892.0}","0.0","{29278.0|86200.0}","1.0","{the coca-cola company|The Coca-Cola Company}","0.0","{[, food & beverages, ]|[, Drink industry, ]}"
"Kaggle_24616+dbpedia_670","0.8","1.0","{kuwait}","1.0","{2004.0|2004.0}","1.0","{476.0}","1.0","{boubyan bank|Boubyan Bank}","0.0","{[, banking, ]|[, Financial services, ]}"
"Kaggle_1690+dbpedia_284","0.6","1.0","{india|India}","1.0","{1983.0}","0.0","{4875.0|62939.0}","1.0","{apollo hospitals|Apollo Hospitals}","0.0","{[, hospital & health care, ]|[, Health care, ]}"
"Kaggle_85284+dbpedia_1480","0.8","1.0","{france}","1.0","{1992.0}","1.0","{132.0}","1.0","{europacorp|EuropaCorp}","0.0","{[, motion pictures and film, ]|[, Film industry, ]}"
"Kaggle_6856+dbpedia_3244","0.8","1.0","{united states}","1.0","{1920.0|1920.0}","1.0","{1577.0}","1.0","{ppl corporation|PPL Corporation}","0.0","{[, utilities, ]|[, Electric utility, ]}"
"Kaggle_275361+dbpedia_4672","0.6","1.0","{canada}","1.0","{1959.0|1959.0}","0.0","{36.0|47000.0}","1.0","{wsp global|WSP Global}","0.0","{[, civil engineering, ]|[, Consultant, , Professional services, , Urban planning, ]}"
"Kaggle_8101+dbpedia_3182","0.6","1.0","{united states}","1.0","{1906.0|1906.0}","0.0","{1362.0|2684.0}","1.0","{oneok|Oneok}","0.0","{[, oil & energy, ]|[, Public utility, ]}"
"Kaggle_10234+dbpedia_684","1.0","1.0","{united kingdom}","1.0","{1762.0}","1.0","{1094.0}","1.0","{brewin dolphin|Brewin Dolphin}","1.0","{[, investment management, ]|[, Investment management, ]}"
"Kaggle_41565+dbpedia_782","0.6","1.0","{united states}","1.0","{1875.0}","0.0","{280.0|631.0}","1.0","{camden national bank|Camden National Bank}","0.0","{[, banking, ]|[, Bank, ]}"
"Kaggle_4923+dbpedia_3552","1.0","1.0","{india}","1.0","{1984.0}","1.0","{2090.0}","1.0","{religare|Religare}","1.0","{[, financial services, ]|[, Financial services, ]}"
"Kaggle_6497387+dbpedia_2539","0.75",,,"1.0","{1984.0}","1.0","{71500.0}","1.0","{lenovo|Lenovo}","0.0","{[, information technology and services, ]|[, Electronics, , Computer hardware, ]}"
"Kaggle_191182+dbpedia_3615","0.5",,,"1.0","{1810.0}","0.0","{55.0|3589.0}","1.0","{rothschild|Rothschild & Co}","0.0","{[, investment banking, ]|[, Financial services, ]}"
"Kaggle_194164+dbpedia_4697","0.6","1.0","{united states}","1.0","{1956.0}","0.0","{54.0|5800.0}","1.0","{watsco, inc.|Watsco}","0.0","{[, building materials, ]|[, Heating, ventilation, and air conditioning, ]}"
"Kaggle_78138+dbpedia_3251","0.8","1.0","{india}","1.0","{1999.0|1999.0}","1.0","{144.0}","1.0","{ptc india limited|PTC India}","0.0","{[, utilities, ]|[, Energy, ]}"
"Kaggle_5018+dbpedia_1548","0.6","1.0","{peru}","1.0","{1922.0|1922.0}","0.0","{2057.0|3588.0}","1.0","{ferreyros s.a.|Ferreyros}","0.0","{[, machinery, ]|[, Heavy equipment, ]}"
"Kaggle_185055+dbpedia_1914","0.5",,,"1.0","{2013.0}","0.0","{57.0|3850.0}","1.0","{hazama ando corporation|Hazama Ando}","0.0","{[, civil engineering, ]|[, Construction, ]}"
"Kaggle_153423+dbpedia_4335","0.8","1.0","{south africa}","1.0","{2012.0}","1.0","{70.0}","1.0","{tiso blackstar group|Tiso Blackstar Group}","0.0","{[, publishing, ]|[, Mass media, ]}"
"Kaggle_535757+dbpedia_2423","0.75",,,"1.0","{1949.0}","1.0","{17.0}","1.0","{king fook holdings limited|King Fook Holdings}","0.0","{[, international trade and development, ]|[, Jewellery, ]}"
"Kaggle_553+dbpedia_3586","0.8","1.0","{united states}","1.0","{1968.0|1962.0}","0.0","{11323.0|50000.0}","1.0","{rite aid|Rite Aid}","1.0","{[, retail, ]|[, Retail, ]}"
"Kaggle_51570+dbpedia_4683","0.8","1.0","{China}","1.0","{2005.0}","1.0","{224.0}","1.0","{wanda cinemas media|Wanda Cinemas}","0.0","{[, motion pictures and film, ]|[, Entertainment, ]}"
