"Experiment ID","Dataset 1","Dataset 2","Matching Rule ID","Matching Rule Threshold","Blocker ID","Precision (Train)","Recall (Train)","F1 (Train)","Precision (Test)","Recall (Test)","F1 (Test)","#corr","Duration","Reduction ratio","#blocked pairs","dateTime","#corr top1","Precision top1","Recall top1","F1 top1"
"1_10_9_dbpedia_kaggle_f","dbpedia","kaggle_f","1","0.9","10","0.7542087542087542","0.7887323943661971","0.7710843373493975","0.8256880733944955","0.8737864077669902","0.8490566037735849","0","","0.0","0","n/a","0","n/a","n/a","n/a"
"20_10_85_dbpedia_kaggle_f","dbpedia","kaggle_f","20","0.85","10","0.9695652173913043","0.7852112676056338","0.8677042801556419","0.989010989010989","0.8737864077669902","0.9278350515463917","0","","0.0","0","n/a","0","n/a","n/a","n/a"
"20_10_87_dbpedia_kaggle_f","dbpedia","kaggle_f","20","0.875","10","1.0","0.5985915492957746","0.748898678414097","1.0","0.6310679611650486","0.7738095238095238","0","","0.0","0","n/a","0","n/a","n/a","n/a"
"21_10_7_dbpedia_kaggle_f","dbpedia","kaggle_f","21","0.7","10","0.6611374407582938","0.9823943661971831","0.7903682719546742","0.7083333333333334","0.9902912621359223","0.825910931174089","0","","0.0","0","n/a","0","n/a","n/a","n/a"
"21_10_85_dbpedia_kaggle_f","dbpedia","kaggle_f","21","0.85","10","0.9122807017543859","0.9154929577464789","0.9138840070298769","0.9339622641509434","0.9611650485436893","0.9473684210526316","0","","0.0","0","n/a","0","n/a","n/a","n/a"
"21_10_87_dbpedia_kaggle_f","dbpedia","kaggle_f","21","0.875","10","0.9429657794676806","0.8732394366197183","0.9067641681901281","0.9791666666666666","0.912621359223301","0.9447236180904524","0","","0.0","0","n/a","0","n/a","n/a","n/a"
"21_10_8_dbpedia_kaggle_f","dbpedia","kaggle_f","21","0.8","10","0.7424657534246575","0.954225352112676","0.8351309707241911","0.7952755905511811","0.9805825242718447","0.8782608695652175","0","","0.0","0","n/a","0","n/a","n/a","n/a"
"21_10_9_dbpedia_kaggle_f","dbpedia","kaggle_f","21","0.9","10","0.9713114754098361","0.8345070422535211","0.8977272727272727","0.9887640449438202","0.8543689320388349","0.9166666666666666","0","","0.0","0","n/a","0","n/a","n/a","n/a"
"21_12_7_dbpedia_kaggle_f","dbpedia","kaggle_f","21","0.7","12","0.6666666666666666","0.9577464788732394","0.7861271676300577","0.7021276595744681","0.9611650485436893","0.8114754098360656","0","","0.0","0","n/a","0","n/a","n/a","n/a"
"21_12_85_dbpedia_kaggle_f","dbpedia","kaggle_f","21","0.85","12","0.9230769230769231","0.8873239436619719","0.9048473967684022","0.9320388349514563","0.9320388349514563","0.9320388349514563","0","","0.0","0","n/a","0","n/a","n/a","n/a"
