"Experiment ID","Dataset 1","Dataset 2","Matching Rule ID","Matching Rule Threshold","Blocker ID","Precision (Train)","Recall (Train)","F1 (Train)","Precision (Test)","Recall (Test)","F1 (Test)","#corr","Duration","Reduction ratio","#blocked pairs","dateTime","#corr top1","Precision top1","Recall top1","F1 top1"
"23_15_9_dbpedia_kaggle","dbpedia","kaggle","23","0,9","15","1","0,148514851","0,25862069","0,9","0,147540984","0,253521127","1449","00:01:54","0.9994643083199783","26299","22.11.2022 16:57","1018","1","0,114754098","0,205882353"
"18_11_9_dbpedia_forbes","dbpedia","forbes","18","0,9","11","1","0,550561798","0,710144928","0,980392157","0,78125","0,869565217","682","00:00:11","0.9627863194874974","360154","22.11.2022 21:09","520","0,976190476","0,640625","0,773584906"
"7_11_85_dbpedia_forbes","dbpedia","forbes","7","0,85","11","1","0,483146067","0,651515152","0,957446809","0,703125","0,810810811","587","00:00:33","0.9627863194874974","360154","22.11.2022 21:06","456","0,95","0,59375","0,730769231"
"28_10_7_dbpedia_kaggle_f","dbpedia","kaggle_f","28","0,7","10","0,962962963","0,568306011","0,714776632","0,888888889","0,927536232","0,907801418","9660","00:12:18","0.9936582749521268","-12144415","26.11.2022 13:39","2990","0,977777778","0,637681159","0,771929825"
"23_11_85_dbpedia_dw","dbpedia","dw","23","0,85","11","0,994413408","0,615916955","0,760683761","0,9625","0,762376238","0,850828729","597","00:00:14","0.9639047817907086","336055","21.11.2022 23:39","460","0,983050847","0,574257426","0,725"
"2_10_7_dbpedia_kaggle_f","dbpedia","kaggle_f","2","0,7","10","0,936363636","0,56284153","0,703071672","0,952380952","0,869565217","0,909090909","3794","00:05:10","0.9936582749521268","-12144415","24.11.2022 20:02","2105","0,978723404","0,666666667","0,793103448"
"11_10_8_forbes_kaggle_f","forbes","kaggle_f","11","0,8","10","0,987951807","0,381395349","0,55033557","0,906976744","0,557142857","0,690265487","2025","00:05:10","0.9935787802696053","6316297","28.11.2022 21:47","1231","1","0,342857143","0,510638298"
"17_11_7_dbpedia_forbes","dbpedia","forbes","17","0,7","11","0,907692308","0,662921348","0,766233766","0,810810811","0,9375","0,869565217","965","00:00:12","0.9627863194874974","360154","22.11.2022 21:08","640","0,854545455","0,734375","0,789915966"
"13_10_85_dw_kaggle_f","dw","kaggle_f","13","0,85","10","1","0,38974359","0,560885609","0,918918919","0,492753623","0,641509434","1920","00:04:08","0.9940586163356226","5622217","25.11.2022 21:56","1166","0,869565217","0,289855072","0,434782609"
"1_11_8_dbpedia_forbes","dbpedia","forbes","1","0,8","11","0,913793103","0,595505618","0,721088435","0,820895522","0,859375","0,839694656","795","00:00:07","0.9627863194874974","360154","22.11.2022 21:05","577","0,88","0,6875","0,771929825"
"13_11_8_dbpedia_dw","dbpedia","dw","13","0,8","11","0,989130435","0,629757785","0,769556025","0,955555556","0,851485149","0,90052356","764","00:00:18","0.9639047817907086","336055","23.11.2022 12:54","546","0,984375","0,623762376","0,763636364"
"18_10_87_dbpedia_kaggle","dbpedia","kaggle","18","0,875","10","0,965116279","0,410891089","0,576388889","0,941176471","0,786885246","0,857142857","7093","00:16:12","0.9942044619521371","284531","22.11.2022 14:50","3036","1","0,540983607","0,70212766"
"19_10_9_dbpedia_kaggle_f","dbpedia","kaggle_f","19","0,9","10","1","0,43715847","0,608365019","0,955555556","0,623188406","0,754385965","2877","00:10:51","0.9936582749521268","-12144415","24.11.2022 22:01","1847","0,941176471","0,463768116","0,621359223"
"23_10_9_dbpedia_kaggle_f","dbpedia","kaggle_f","23","0,9","10","1","0,508196721","0,673913043","0,980769231","0,739130435","0,842975207","3009","00:14:16","0.9936582749521268","-12144415","25.11.2022 10:58","1935","0,975","0,565217391","0,71559633"
"14_11_7_dbpedia_dw","dbpedia","dw","14","0,7","11","0,975124378","0,678200692","0,8","0,948453608","0,910891089","0,929292929","805","00:00:10","0.9639047817907086","336055","21.11.2022 23:37","561","0,984848485","0,643564356","0,778443114"
"19_10_85_dbpedia_kaggle","dbpedia","kaggle","19","0,85","10","0,974683544","0,381188119","0,548042705","0,933333333","0,68852459","0,79245283","6861","00:18:30","0.9942044619521371","284531","22.11.2022 15:07","2972","1","0,475409836","0,644444444"
"14_11_87_dbpedia_forbes","dbpedia","forbes","14","0,875","11","0,951923077","0,556179775","0,70212766","0,9","0,84375","0,870967742","710","00:00:11","0.9627863194874974","360154","22.11.2022 21:08","538","0,9375","0,703125","0,803571429"
"18_11_9_dbpedia_dw","dbpedia","dw","18","0,9","11","1","0,602076125","0,75161987","0,986842105","0,742574257","0,847457627","631","00:00:11","0.9639047817907086","336055","21.11.2022 23:38","481","1","0,564356436","0,721518987"
"14_11_85_dbpedia_forbes","dbpedia","forbes","14","0,85","11","0,942857143","0,556179775","0,699646643","0,9","0,84375","0,870967742","713","00:00:11","0.9627863194874974","360154","22.11.2022 21:08","541","0,9375","0,703125","0,803571429"
