"Forbes1394","Kaggle_5803079","0.6060606060606061","Focus Media Information Technology","ata information technology"
"Forbes575","Kaggle_5789735","0.6","QBE Insurance Group","hig insurance group"
"Forbes1460","Kaggle_5317831","0.5945945945945946","Melco International Development","the international development journal"
"Forbes1447","Kaggle_6611433","0.59375","RiseSun Real Estate Development","roll real estate development"
"Forbes1294","Kaggle_6906462","0.5925925925925926","Equity Residential","equity residential services, llc."
"Forbes492","Kaggle_5720903","0.5909090909090909","Hana Financial Group","haven financial group"
"Forbes899","Kaggle_5375833","0.5882352941176471","L3 Technologies","truni technologies"
"Forbes377","Kaggle_5406482","0.5862068965517241","Tata Consultancy Services","sri sai consultancy services"
"Forbes735","Kaggle_5267862","0.5833333333333334","Ross Stores","roses stores"
"Forbes864","Kaggle_6872245","0.5806451612903226","Shanghai International Port","shanghai sonen international"
"Forbes1464","Kaggle_6679730","0.5789473684210527","AECOM Technology","infocom technology"
"Forbes147","Kaggle_5643029","0.5769230769230769","PNC Financial Services","ccm financial services ltd"
"Forbes1905","Kaggle_5577591","0.5757575757575758","Shanghai International Airport","shiraz international airport"
"Forbes1412","Kaggle_5280414","0.5714285714285714","Metro","metronet"
"Forbes377","Kaggle_5426172","0.5666666666666667","Tata Consultancy Services","pro-solv consultancy services"
"Forbes1595","Kaggle_5677473","0.5652173913043478","ONO Pharmaceutical","omni bio pharmaceutical"
"Forbes1460","Kaggle_5454655","0.5641025641025641","Melco International Development","tlc international development limited"
"Forbes811","Kaggle_5337286","0.5625","LG Electronics","dws electronics"
"Forbes1684","Kaggle_5677557","0.56","Shaw Communications","shanon communications inc"
"Forbes1394","Kaggle_6670707","0.5588235294117647","Focus Media Information Technology","new information technology"
"Forbes970","Kaggle_6804939","0.5555555555555556","Arch Capital Group","pe capital group"
"Forbes1394","Kaggle_5357904","0.5526315789473685","Focus Media Information Technology","intermedio information technology"
"Forbes1679","Kaggle_6753147","0.5517241379310345","Hengan International Group","su international group, inc."
"Forbes1414","Kaggle_6695609","0.55","Olam International","aeg international"
"Forbes318","Kaggle_5593786","0.5483870967741935","Discover Financial Services","isbister financial services"
"Forbes1826","Kaggle_5619388","0.5454545454545454","JB Financial Group","cowell financial group"
"Forbes1447","Kaggle_6709335","0.5428571428571428","RiseSun Real Estate Development","vickers real estate development"
"Forbes961","Kaggle_6856462","0.5416666666666666","BOE Technology Group","nordic technology group"
"Forbes1394","Kaggle_6704356","0.5405405405405406","Focus Media Information Technology","data information technology (datait)"
"Forbes831","Kaggle_6749932","0.5384615384615384","EOG Resources","go² resources"
"Forbes1460","Kaggle_6733839","0.5365853658536586","Melco International Development","international development collaborative"
"Forbes318","Kaggle_5443486","0.5357142857142857","Discover Financial Services","tcf financial services"
"Forbes478","Kaggle_5800938","0.5333333333333333","Mitsubishi","alcoa mitsubishi"
"Forbes1333","Kaggle_5500646","0.53125","AmTrust Financial Services","anovest financial services, inc."
"Forbes1876","Kaggle_5452809","0.5294117647058824","ST Engineering","rco engineering inc"
"Forbes1394","Kaggle_5389581","0.5277777777777778","Focus Media Information Technology","vital information technology"
"Forbes1775","Kaggle_6682685","0.5263157894736842","Jacobs Engineering","cms engineering"
"Forbes520","Kaggle_5591163","0.5238095238095238","Baxter International","hmk international"
"Forbes1684","Kaggle_5645883","0.5217391304347826","Shaw Communications","dream communications"
"Forbes1902","Kaggle_6761454","0.52","Jazz Pharmaceuticals","diazon pharmaceuticals"
"Forbes1100","Kaggle_5708096","0.5185185185185185","Land Securities Group","preferred securities group"
"Forbes147","Kaggle_5803146","0.5172413793103449","PNC Financial Services","northwood financial services"
"Forbes403","Kaggle_6836030","0.5161290322580645","American International Group","international legal group"
"Forbes1568","Kaggle_5607023","0.5151515151515151","Pacific Exploration & Production","peak exploration & production, llc"
"Forbes1372","Kaggle_5789340","0.5142857142857142","AAC Technologies Holdings","spectra technologies holdings co. ltd."
"Forbes1394","Kaggle_5609863","0.5135135135135135","Focus Media Information Technology","icf information technology inc"
"Forbes1460","Kaggle_6931853","0.5128205128205128","Melco International Development","international design & developpement"
"Forbes71","Kaggle_5507047","0.5121951219512195","China State Construction Engineering","acero construction & engineering ltd"
"Forbes71","Kaggle_5597971","0.5116279069767442","China State Construction Engineering","silver star construction engineering, inc."
"Forbes520","Kaggle_6824337","0.5","Baxter International","safe air international"
"Forbes71","Kaggle_5635166","0.4883720930232558","China State Construction Engineering","silver construction engineering gmbh"
"Forbes1518","Kaggle_5580023","0.4878048780487805","China Communications Services","emerald telecommunications services ltd"
"Forbes1394","Kaggle_5821675","0.48717948717948717","Focus Media Information Technology","abacus information technologies"
"Forbes1518","Kaggle_5379047","0.4864864864864865","China Communications Services","matrix communication services, inc."
"Forbes1594","Kaggle_6796824","0.4857142857142857","China International Marine","international marine travel group"
"Forbes1985","Kaggle_6782768","0.48484848484848486","Konica Minolta Business Solutions","ooda business solutions"
"Forbes147","Kaggle_6938554","0.4838709677419355","PNC Financial Services","ensemble financial services, inc."
"Forbes327","Kaggle_5395138","0.4827586206896552","China Cinda Asset Management","corin asset management"
"Forbes530","Kaggle_6856036","0.48148148148148145","Simon Property Group","position property group, llc"
"Forbes843","Kaggle_6908614","0.48","American Financial Group","lba financial group"
"Forbes1411","Kaggle_6738413","0.4791666666666667","Inner Mongolia Baotou Steel","inner mongolia baotou steel rare-earth (group) hi-tech co., ltd."
"Forbes946","Kaggle_6898918","0.4782608695652174","Galaxy Entertainment","elsboy entertainment"
"Forbes71","Kaggle_5676103","0.4772727272727273","China State Construction Engineering","international construction & engineering"
"Forbes1998","Kaggle_5514288","0.47619047619047616","Akamai Technologies","ann technologies"
"Forbes71","Kaggle_5358070","0.475","China State Construction Engineering","skyline engineering & construction"
"Forbes1884","Kaggle_6678752","0.47368421052631576","GS Engineering","degero engineering"
"Forbes377","Kaggle_5364956","0.4722222222222222","Tata Consultancy Services","transglobe consultancy services inc."
"Forbes1897","Kaggle_5651199","0.47058823529411764","Babcock International Group","next level international group"
"Forbes318","Kaggle_5585840","0.46875","Discover Financial Services","winston financial services"
"Forbes783","Kaggle_5734186","0.4666666666666667","Canadian Natural Resources","dms natural resources llc"
"Forbes1394","Kaggle_6725566","0.46511627906976744","Focus Media Information Technology","spatika information technologies - india"
"Forbes1930","Kaggle_6744167","0.4642857142857143","BioMarin Pharmaceutical","organon pharmaceutical"
"Forbes1394","Kaggle_6709366","0.4634146341463415","Focus Media Information Technology","bennett information technology, inc."
"Forbes835","Kaggle_5321475","0.46153846153846156","Hermès International","concepts international"
"Forbes377","Kaggle_6713881","0.4594594594594595","Tata Consultancy Services","engineering consultancy services ltd"
"Forbes1414","Kaggle_6637273","0.4583333333333333","Olam International","igen international, inc."
