"dataworld_511","Kaggle_2874087","0.8541666666666667","Waste Management","360 waste management"
"dataworld_1255","Kaggle_669709","0.8535714285714286","Community Health Sys","community health system"
"dataworld_838","Kaggle_2421284","0.8535353535353535","Discovery Communications","discoveryl3"
"dataworld_1401","Kaggle_202520","0.8532608695652174","Meico Crown Entertainment","melco crown entertainment"
"dataworld_615","Kaggle_4234988","0.8523550724637681","Tata Consultancy Services","gta consultancy services ltd"
"dataworld_376","Kaggle_1721779","0.8516483516483517","Pernod Ricard","pernod ricard uk"
"dataworld_1915","Kaggle_5501803","0.8500000000000001","Alexander's","alexander q"
"dataworld_1060","Kaggle_6889746","0.8486842105263158","Coventry Health Care","conventry health care"
"dataworld_480","Kaggle_2633205","0.8474025974025974","Progressive","progressive 3pl ltd"
"dataworld_1664","Kaggle_1201652","0.8461538461538463","LIG Insurance","nlig insurance group"
"dataworld_351","Kaggle_194309","0.8460526315789474","Illinois Tool Works","illinois tool works (itw)"
"dataworld_707","Kaggle_5410307","0.8452380952380953","Technip","techni3 limited"
"dataworld_533","Kaggle_4002278","0.8450980392156863","Astellas Pharma","astellas pharma s.p.a."
"dataworld_1654","Kaggle_3928704","0.8447368421052632","Shanghai Industrial","shanghai 3s industrial co., ltd."
"dataworld_307","Kaggle_267968","0.84375","Reckitt Benckiser Group","reckitt benkiser"
"dataworld_197","Kaggle_1082212","0.8430769230769231","China State Construction","china state construction land"
"dataworld_349","Kaggle_3016408","0.8416666666666667","Northrop Grumman","northrop grummen"
"dataworld_931","Kaggle_5432925","0.8406432748538011","Longfor Properties","longford properties limited"
"dataworld_152","Kaggle_1134291","0.8400000000000001","British American Tobacco","bat british american tobacco"
"dataworld_833","Kaggle_3373466","0.8397435897435898","CenterPoint Energy","center point ga, inc."
"dataworld_546","Kaggle_1243259","0.8377192982456141","Sumitomo Electric","sumitomo electric u.s.a., inc."
"dataworld_125","Kaggle_114792","0.8375","Phillips 66","phillips industries"
"dataworld_615","Kaggle_3465378","0.8365217391304348","Tata Consultancy Services","bita consultancy services"
"dataworld_1534","Kaggle_2374722","0.8348214285714286","Wolters Kluwer","wolters kluwer s. r. o."
"dataworld_1892","Kaggle_3820488","0.8346153846153845","Commercial International Bank","commercial b2b"
"dataworld_615","Kaggle_105075","0.8337912087912087","Tata Consultancy Services","tata consultancy services latam"
"dataworld_799","Kaggle_4807672","0.8333333333333334","Mega Financial Holding","mega 3d"
"dataworld_911","Kaggle_4719896","0.8333333333333333","PartnerRe","partner-rx"
"dataworld_307","Kaggle_1623700","0.8328173374613003","Reckitt Benckiser Group","reckitt benckiser plc"
"dataworld_131","Kaggle_76781","0.8316993464052287","Hutchinson Whampoa","hutchison whampoa"
"dataworld_244","Kaggle_2184802","0.8308270676691729","United Parcel Service","united parsel service"
"dataworld_1231","Kaggle_2100514","0.829059829059829","Cincinnati Financial","ad 2 cincinnati"
"dataworld_1743","Kaggle_2439750","0.8285714285714286","Level 3 Communications","level 34"
"dataworld_1255","Kaggle_115356","0.8284313725490196","Community Health Sys","community health group"
"dataworld_1817","Kaggle_5644819","0.8261904761904761","GS Engineering","ings engineering limited"
"dataworld_1368","Kaggle_3099082","0.8260869565217391","Shanghai Construction","shanghai cnd construction co., ltd."
"dataworld_807","Kaggle_1210642","0.8257575757575758","Resolution","resolution gb ltd"
"dataworld_1488","Kaggle_309100","0.8241106719367588","InterContinental Hotels","intercontinetal hotel"
"dataworld_511","Kaggle_2153718","0.8235294117647058","Waste Management","b&w waste management"
"dataworld_457","Kaggle_887533","0.823076923076923","Kinder Morgan","kinder morgan co2 co"
"dataworld_773","Kaggle_1010961","0.8223684210526316","GD Power Development","fpd power development"
"dataworld_869","Kaggle_8892","0.8221343873517787","London Stock Exchange","london stock exchange group (lseg)"
"dataworld_1187","Kaggle_869","0.8219461697722568","Royal Carribean Cruises","royal caribbean cruises, ltd."
"dataworld_1190","Kaggle_5781257","0.8216911764705883","Micron Technology","micro technology international inc"
"dataworld_40","Kaggle_5487352","0.8194444444444444","Microsoft","microsoft corporation - c2s technologies"
"dataworld_1284","Kaggle_1410491","0.8186813186813187","ST Engineering","b&t engineering"
"dataworld_157","Kaggle_6838235","0.8181818181818181","PNC Financial Services","nc services"
"dataworld_216","Kaggle_869879","0.818121693121693","People's Insurance Company","people's insurance company of china"
"dataworld_440","Kaggle_602500","0.8180147058823529","Intesa Sanpaolo","intesa sanpaolo spa"
"dataworld_419","Kaggle_1263083","0.8174603174603174","Generali Group","general 3d"
"dataworld_121","Kaggle_5804989","0.8170189098998888","Shanghai Pudong Development","shanghai pudong development center"
"dataworld_1167","Kaggle_5852364","0.8166666666666667","Metro Inc","metrol"
"dataworld_615","Kaggle_5251519","0.8165217391304348","Tata Consultancy Services","tank consultancy services ltd"
"dataworld_21","Kaggle_3203675","0.8138528138528138","Samsung Electronics","samsung electronics gmbh"
"dataworld_1817","Kaggle_2274126","0.8131868131868132","GS Engineering","l2s engineering"
"dataworld_1221","Kaggle_1913067","0.8126934984520124","Jacobs Engineering","jocobs engineering"
"dataworld_1803","Kaggle_3431443","0.8125","Inventec","inventex inc"
"dataworld_51","Kaggle_716405","0.8117647058823529","Sumitomo Mitsui Financial","sumitomo mitsui rus bank"
"dataworld_152","Kaggle_1942599","0.8112535612535613","British American Tobacco","british american tobacco japan"
"dataworld_105","Kaggle_1957618","0.8104166666666667","American Express","american epress"
"dataworld_615","Kaggle_2604577","0.8097826086956521","Tata Consultancy Services","pa consultancyservices"
"dataworld_102","Kaggle_8075","0.8095238095238095","China Life Insurance","new china life insurance co., ltd."
"dataworld_838","Kaggle_3156274","0.8090909090909091","Discovery Communications","discoveryon"
"dataworld_318","Kaggle_348430","0.8079710144927537","Samsung Life Insurance","siam samsung life insurance"
"dataworld_437","Kaggle_116268","0.8076923076923077","Bharti Airtel","bharti airte in"
"dataworld_409","Kaggle_283128","0.8074074074074075","Thermo Fisher Scientific","thermo fisher scientific korea"
"dataworld_466","Kaggle_18864","0.80625","ArcelorMittal","arcelormittal usa"
"dataworld_270","Kaggle_5310190","0.8047619047619048","China Communications Construction","china construction list"
"dataworld_1614","Kaggle_1748452","0.8045454545454545","FirstGroup","first2group"
"dataworld_492","Kaggle_5296430","0.8044871794871795","EOG Resources","aog resources ltd"
"dataworld_615","Kaggle_5152573","0.8043478260869565","Tata Consultancy Services","8t7 consultancy services"
"dataworld_615","Kaggle_1377771","0.802675585284281","Tata Consultancy Services","para consultancy services"
"dataworld_2","Kaggle_3734932","0.8022875816993464","China Construction Bank","fina construction ltd."
"dataworld_1318","Kaggle_747896","0.8020833333333333","Aéroports de Paris","aeroports de paris"
