"Forbes843","Kaggle_3110283","0.6451612903225806","American Financial Group","american family financial group llc"
"Forbes623","Kaggle_3211449","0.6428571428571429","WEC Energy Group","4energy group"
"Forbes1683","Kaggle_2933071","0.640625","Commercial Bank For Investment & Development Of Vietnam","joint stock commercial bank for investment and development of vietnam (bidv)"
"Forbes174","Kaggle_2141830","0.64","China Pacific Insurance","laguna pacific insurance"
"Forbes842","Kaggle_3107685","0.6388888888888888","Guangzhou Automobile Group","guangzhou automobile group business co., ltd."
"Forbes448","Kaggle_1961632","0.6363636363636364","Fosun International","link-sun international"
"Forbes291","Kaggle_2523032","0.6333333333333333","Archer Daniels Midland","archer daniels midland europoort b.v."
"Forbes302","Kaggle_2349927","0.631578947368421","KB Financial Group","cno financial group"
"Forbes377","Kaggle_3211266","0.6296296296296297","Tata Consultancy Services","7s consultancy services llp"
"Forbes1460","Kaggle_2735428","0.6285714285714286","Melco International Development","sbs international development ltd"
"Forbes1449","Kaggle_2003470","0.625","Acciona","accionti"
"Forbes71","Kaggle_2113285","0.6216216216216216","China State Construction Engineering","elite construction & engineering, inc."
"Forbes377","Kaggle_2832039","0.6206896551724138","Tata Consultancy Services","promaya consultancy services"
"Forbes367","Kaggle_2042132","0.6190476190476191","Edison International","axion international"
"Forbes1460","Kaggle_2213220","0.6176470588235294","Melco International Development","international drug development"
"Forbes684","Kaggle_2070187","0.6153846153846154","Woolworths","woolworth walk"
"Forbes1447","Kaggle_1789552","0.6129032258064516","RiseSun Real Estate Development","red real estate development"
"Forbes196","Kaggle_3008699","0.6111111111111112","Deutsche Post","deutsche post com gmbh"
"Forbes348","Kaggle_2886564","0.6086956521739131","Takeda Pharmaceutical","anda pharmaceuticals"
"Forbes377","Kaggle_3357586","0.6071428571428571","Tata Consultancy Services","focus consultancy services"
"Forbes995","Kaggle_2229929","0.6060606060606061","Shanghai Pharmaceuticals","shanghai hutchison pharmaceuticals"
"Forbes1876","Kaggle_1929795","0.6","ST Engineering","n s engineering"
"Forbes71","Kaggle_3230390","0.5945945945945946","China State Construction Engineering","tyce construction engineering, inc."
"Forbes1868","Kaggle_2579800","0.59375","Beijing Capital Development","working capital development, llc"
"Forbes1897","Kaggle_3198796","0.5925925925925926","Babcock International Group","tt international group"
