"dbpedia_2012","Kaggle_5723309","1.0","Honeywell","honeywell group"
"dbpedia_1053","Kaggle_5339576","0.9642857142857143","Constellation Energy","the constellations"
"dbpedia_1831","Kaggle_5410789","0.9545454545454546","Group 1 Automotive","automotive group ltd"
"dbpedia_4290","Kaggle_6670430","0.95","The Marketing Group","group 2 marketing"
"dbpedia_592","Kaggle_5424734","0.9486842105263158","Benchmark Electronics","benchmark electronic inc"
"dbpedia_2792","Kaggle_6756918","0.9444444444444444","Meridian Energy","meridian4"
"dbpedia_4110","Kaggle_6600052","0.9393382352941176","System Technology-i Co, Ltd","system technology group inc"
"dbpedia_883","Kaggle_5636261","0.9375","Charter International","charter 1"
"dbpedia_226","Kaggle_5409518","0.9354166666666667","American Express","american expresss"
"dbpedia_290","Kaggle_6824395","0.930952380952381","Applied Genetic Technologies Corporation","applied genetics inc"
"dbpedia_2418","Kaggle_6630584","0.9258241758241759","Kimberly-Clark","kimberly clarke"
"dbpedia_1053","Kaggle_5408102","0.9198717948717949","Constellation Energy","constellatio"
"dbpedia_985","Kaggle_5579679","0.9166666666666667","Civil Bank","civil 7"
"dbpedia_212","Kaggle_6724853","0.916083916083916","Amalgamations Group","amalgamation"
"dbpedia_1405","Kaggle_5656399","0.9148550724637681","Electrolux Professional","electrolux professional b.v."
"dbpedia_878","Kaggle_5326243","0.9128787878787878","ChargePoint","chargepoints"
"dbpedia_4290","Kaggle_6710942","0.9090909090909091","The Marketing Group","a-1 marketing group"
"dbpedia_3262","Kaggle_5449805","0.9047379032258065","Pacific Horizon Investment Trust","pacific horizon investment trust plc"
"dbpedia_1427","Kaggle_5667316","0.9045454545454545","Empresaria Group","empresarial"
"dbpedia_3972","Kaggle_6822038","0.9023809523809524","Sportsman's Warehouse","sportsmans warehouse za"
"dbpedia_4239","Kaggle_6642126","0.9","Tele2","tele ag"
"dbpedia_1532","Kaggle_6603387","0.8973684210526316","FalconStor Software","falconstor software uk"
"dbpedia_164","Kaggle_5437638","0.8944444444444444","Alexander's","alexander"
"dbpedia_4026","Kaggle_6945125","0.8888888888888888","Stor-Age","a1 storage limited"
"dbpedia_1067","Kaggle_6648041","0.8856209150326797","Core Laboratories","core laboratories international b.v."
"dbpedia_1112","Kaggle_5444579","0.8839869281045751","Cube Entertainment","ecube entertainment"
"dbpedia_1505","Kaggle_5333938","0.8823529411764706","Extra Space Storage","xtra space storage limited"
"dbpedia_3369","Kaggle_5504945","0.8823076923076922","Pioneer Natural Resources","pioneer natural resources usa, inc."
"dbpedia_836","Kaggle_5302464","0.8819444444444444","Catalyst Pharmaceuticals","catalysts"
"dbpedia_1405","Kaggle_6618829","0.8775","Electrolux Professional","electrolux professional s.e.a"
"dbpedia_1688","Kaggle_6888433","0.875","GEO Group","geo2 technologies"
"dbpedia_3306","Kaggle_5285243","0.8722826086956521","People's Leasing & Finance","people's leasing & finance plc"
"dbpedia_2260","Kaggle_5569986","0.8708333333333333","Jadranska vrata","jadranska vrata d.d."
"dbpedia_488","Kaggle_6832488","0.8693181818181819","Banco de Crédito del Perú","banco de crédito del perú bcp"
"dbpedia_439","Kaggle_5663161","0.8685770750988142","BIP Investment Partners","bip investments partners sa"
"dbpedia_1096","Kaggle_5599835","0.8669590643274854","Creative Technology","kreative technology"
"dbpedia_4296","Kaggle_5860448","0.8666666666666667","The Restaurant Group","restaurant +39"
"dbpedia_4244","Kaggle_5852983","0.866600790513834","Telephone and Data Systems","telephone data systems, llc"
"dbpedia_227","Kaggle_5531364","0.8660714285714286","American Financial Group","america motors"
"dbpedia_1917","Kaggle_5523931","0.864367816091954","Health Insurance Innovations","health insurance innovations inc (hiiq)"
"dbpedia_2483","Kaggle_6677704","0.8636363636363636","L&T Technology Services","colt technology services group limited"
"dbpedia_4544","Kaggle_5721997","0.8630434782608696","United Parcel Service","ups  united parcel service"
"dbpedia_1053","Kaggle_6673676","0.861904761904762","Constellation Energy","constellationny"
"dbpedia_1380","Kaggle_6861091","0.8603896103896104","Education Management Corporation","education management corporation (emc)"
"dbpedia_1731","Kaggle_6595915","0.8595238095238096","GemstarTV Guide International","gemstar-tv guide"
"dbpedia_363","Kaggle_6933273","0.8571428571428572","Asure Software","assure software"
"dbpedia_692","Kaggle_6636906","0.8535714285714286","Bristol Myers Squibb","bristol-myers squibb s.r.l."
"dbpedia_4307","Kaggle_5351865","0.8535353535353535","The Warehouse Group","warehouse 49"
"dbpedia_4337","Kaggle_5470990","0.8516483516483517","Titan Machinery","titan machine corporation"
"dbpedia_164","Kaggle_5501803","0.8500000000000001","Alexander's","alexander q"
"dbpedia_3808","Kaggle_5685330","0.8497150997150997","Semiconductor Manufacturing International Corporation","international semiconductor manufacturer"
"dbpedia_3218","Kaggle_6916315","0.8461538461538463","Otis Worldwide","tis worldwide inc"
"dbpedia_86","Kaggle_6672793","0.8460526315789474","Access Engineering","access engineering plc"
"dbpedia_2871","Kaggle_5830116","0.8452380952380953","Moderna","modern motors limited"
"dbpedia_173","Kaggle_6909851","0.8416666666666667","Alight Solutions","flight solutions, inc."
"dbpedia_2502","Kaggle_6611295","0.8406432748538011","Ladenburg Thalmann","landenburg thalmann"
"dbpedia_1247","Kaggle_6727544","0.8397435897435898","Destination XL Group","destination communications, inc."
"dbpedia_7","Kaggle_6805844","0.8388888888888889","361 Degrees","360 degrees communications limited"
"dbpedia_3254","Kaggle_6881774","0.8377192982456141","PV Crystalox Solar","pv crystalox solar plc"
"dbpedia_2668","Kaggle_6612496","0.8375","Magellan Financial Group","magellan21"
