"Forbes377","Kaggle_3988758","0.6071428571428571","Tata Consultancy Services","codex consultancy services ltd"
"Forbes1795","Kaggle_4681827","0.6060606060606061","RioCan Real Estate Investment Trust","trust real estate investments"
"Forbes843","Kaggle_5186520","0.6","American Financial Group","hp american energy, inc."
"Forbes1795","Kaggle_3799536","0.5945945945945946","RioCan Real Estate Investment Trust","fronsac real estate investment trust"
"Forbes1447","Kaggle_3623565","0.59375","RiseSun Real Estate Development","jade real estate development"
"Forbes1993","Kaggle_3529605","0.5925925925925926","Live Nation Entertainment","fascination entertainment"
"Forbes971","Kaggle_3492329","0.5909090909090909","Daito Trust Construction","just construction group"
"Forbes206","Kaggle_4779033","0.5882352941176471","Continental","continental exports"
"Forbes377","Kaggle_4371820","0.5862068965517241","Tata Consultancy Services","asppec consultancy services"
"Forbes1104","Kaggle_3965689","0.5833333333333334","Assurant","assurant france"
"Forbes377","Kaggle_4675378","0.5806451612903226","Tata Consultancy Services","data point consultancy services"
"Forbes135","Kaggle_3559879","0.5789473684210527","China Communications Construction","nac construction corp."
"Forbes445","Kaggle_4756973","0.5769230769230769","IntercontinentalExchange","intercontinental s.r.l."
"Forbes1394","Kaggle_3843372","0.5757575757575758","Focus Media Information Technology","te information technology limited"
"Forbes1440","Kaggle_4396588","0.5714285714285714","Coach","coachita"
"Forbes377","Kaggle_3910614","0.5666666666666667","Tata Consultancy Services","kalasam consultancy services"
"Forbes481","Kaggle_4459681","0.5652173913043478","Waste Management","hemmings waste management limited"
"Forbes71","Kaggle_5035882","0.5641025641025641","China State Construction Engineering","songtec construction & engineering"
"Forbes1884","Kaggle_5159684","0.5625","GS Engineering","lec engineering ltd"
"Forbes329","Kaggle_4059739","0.56","China Resources Land","chicago-china resources group llc"
"Forbes1447","Kaggle_4018859","0.5588235294117647","RiseSun Real Estate Development","yeung ? real estate development"
"Forbes741","Kaggle_4690221","0.5555555555555556","Annaly Capital Management","katz capital management"
"Forbes1394","Kaggle_3584468","0.5526315789473685","Focus Media Information Technology","sapientia information technology"
"Forbes741","Kaggle_3757318","0.5517241379310345","Annaly Capital Management","varsity capital management"
"Forbes2","Kaggle_4508094","0.55","China Construction Bank","lyca construction"
